"path","category","priority","reason","evidence"
"history/provinces/00_MB_PROVINCES.txt","history_provinces","core","Dogrudan province history: holding, terrain, culture, faith, buildings, special_building vb.","holding / terrain / buildings / special_building"
"history/provinces/e_china.txt","history_provinces","core","Dogrudan province history: holding, terrain, culture, faith, buildings, special_building vb.","holding / terrain / buildings / special_building"
"history/provinces/e_dali.txt","history_provinces","core","Dogrudan province history: holding, terrain, culture, faith, buildings, special_building vb.","holding / terrain / buildings / special_building"
"history/provinces/e_japan.txt","history_provinces","core","Dogrudan province history: holding, terrain, culture, faith, buildings, special_building vb.","holding / terrain / buildings / special_building"
"history/provinces/e_kambuja.txt","history_provinces","core","Dogrudan province history: holding, terrain, culture, faith, buildings, special_building vb.","holding / terrain / buildings / special_building"
"history/provinces/e_viet.txt","history_provinces","core","Dogrudan province history: holding, terrain, culture, faith, buildings, special_building vb.","holding / terrain / buildings / special_building"
"history/provinces/h_china.txt","history_provinces","core","Dogrudan province history: holding, terrain, culture, faith, buildings, special_building vb.","holding / terrain / buildings / special_building"
"history/provinces/k_abyssinia.txt","history_provinces","core","Dogrudan province history: holding, terrain, culture, faith, buildings, special_building vb.","holding / terrain / buildings / special_building"
"history/provinces/k_adal.txt","history_provinces","core","Dogrudan province history: holding, terrain, culture, faith, buildings, special_building vb.","holding / terrain / buildings / special_building"
"history/provinces/k_africa.txt","history_provinces","core","Dogrudan province history: holding, terrain, culture, faith, buildings, special_building vb.","holding / terrain / buildings / special_building"
"history/provinces/k_ajuraan.txt","history_provinces","core","Dogrudan province history: holding, terrain, culture, faith, buildings, special_building vb.","holding / terrain / buildings / special_building"
"history/provinces/k_akan.txt","history_provinces","core","Dogrudan province history: holding, terrain, culture, faith, buildings, special_building vb.","holding / terrain / buildings / special_building"
"history/provinces/k_amdo.txt","history_provinces","core","Dogrudan province history: holding, terrain, culture, faith, buildings, special_building vb.","holding / terrain / buildings / special_building"
"history/provinces/k_amur.txt","history_provinces","core","Dogrudan province history: holding, terrain, culture, faith, buildings, special_building vb.","holding / terrain / buildings / special_building"
"history/provinces/k_anatolia.txt","history_provinces","core","Dogrudan province history: holding, terrain, culture, faith, buildings, special_building vb.","holding / terrain / buildings / special_building"
"history/provinces/k_anbiya.txt","history_provinces","core","Dogrudan province history: holding, terrain, culture, faith, buildings, special_building vb.","holding / terrain / buildings / special_building"
"history/provinces/k_andalusia.txt","history_provinces","core","Dogrudan province history: holding, terrain, culture, faith, buildings, special_building vb.","holding / terrain / buildings / special_building"
"history/provinces/k_andhra.txt","history_provinces","core","Dogrudan province history: holding, terrain, culture, faith, buildings, special_building vb.","holding / terrain / buildings / special_building"
"history/provinces/k_angara.txt","history_provinces","core","Dogrudan province history: holding, terrain, culture, faith, buildings, special_building vb.","holding / terrain / buildings / special_building"
"history/provinces/k_aquitaine.txt","history_provinces","core","Dogrudan province history: holding, terrain, culture, faith, buildings, special_building vb.","holding / terrain / buildings / special_building"
"history/provinces/k_arabia.txt","history_provinces","core","Dogrudan province history: holding, terrain, culture, faith, buildings, special_building vb.","holding / terrain / buildings / special_building"
"history/provinces/k_aragon.txt","history_provinces","core","Dogrudan province history: holding, terrain, culture, faith, buildings, special_building vb.","holding / terrain / buildings / special_building"
"history/provinces/k_armenia.txt","history_provinces","core","Dogrudan province history: holding, terrain, culture, faith, buildings, special_building vb.","holding / terrain / buildings / special_building"
"history/provinces/k_badajoz.txt","history_provinces","core","Dogrudan province history: holding, terrain, culture, faith, buildings, special_building vb.","holding / terrain / buildings / special_building"
"history/provinces/k_bale.txt","history_provinces","core","Dogrudan province history: holding, terrain, culture, faith, buildings, special_building vb.","holding / terrain / buildings / special_building"
"history/provinces/k_balhae.txt","history_provinces","core","Dogrudan province history: holding, terrain, culture, faith, buildings, special_building vb.","holding / terrain / buildings / special_building"
"history/provinces/k_bashkiria.txt","history_provinces","core","Dogrudan province history: holding, terrain, culture, faith, buildings, special_building vb.","holding / terrain / buildings / special_building"
"history/provinces/k_bavaria.txt","history_provinces","core","Dogrudan province history: holding, terrain, culture, faith, buildings, special_building vb.","holding / terrain / buildings / special_building"
"history/provinces/k_bengal.txt","history_provinces","core","Dogrudan province history: holding, terrain, culture, faith, buildings, special_building vb.","holding / terrain / buildings / special_building"
"history/provinces/k_bihar.txt","history_provinces","core","Dogrudan province history: holding, terrain, culture, faith, buildings, special_building vb.","holding / terrain / buildings / special_building"
"history/provinces/k_bjarmaland.txt","history_provinces","core","Dogrudan province history: holding, terrain, culture, faith, buildings, special_building vb.","holding / terrain / buildings / special_building"
"history/provinces/k_blemmyia.txt","history_provinces","core","Dogrudan province history: holding, terrain, culture, faith, buildings, special_building vb.","holding / terrain / buildings / special_building"
"history/provinces/k_bohemia.txt","history_provinces","core","Dogrudan province history: holding, terrain, culture, faith, buildings, special_building vb.","holding / terrain / buildings / special_building"
"history/provinces/k_borgu.txt","history_provinces","core","Dogrudan province history: holding, terrain, culture, faith, buildings, special_building vb.","holding / terrain / buildings / special_building"
"history/provinces/k_borneo.txt","history_provinces","core","Dogrudan province history: holding, terrain, culture, faith, buildings, special_building vb.","holding / terrain / buildings / special_building"
"history/provinces/k_brittany.txt","history_provinces","core","Dogrudan province history: holding, terrain, culture, faith, buildings, special_building vb.","holding / terrain / buildings / special_building"
"history/provinces/k_bulgaria.txt","history_provinces","core","Dogrudan province history: holding, terrain, culture, faith, buildings, special_building vb.","holding / terrain / buildings / special_building"
"history/provinces/k_burgundy.txt","history_provinces","core","Dogrudan province history: holding, terrain, culture, faith, buildings, special_building vb.","holding / terrain / buildings / special_building"
"history/provinces/k_buryatia.txt","history_provinces","core","Dogrudan province history: holding, terrain, culture, faith, buildings, special_building vb.","holding / terrain / buildings / special_building"
"history/provinces/k_caspian_steppe.txt","history_provinces","core","Dogrudan province history: holding, terrain, culture, faith, buildings, special_building vb.","holding / terrain / buildings / special_building"
"history/provinces/k_castille.txt","history_provinces","core","Dogrudan province history: holding, terrain, culture, faith, buildings, special_building vb.","holding / terrain / buildings / special_building"
"history/provinces/k_caucasus.txt","history_provinces","core","Dogrudan province history: holding, terrain, culture, faith, buildings, special_building vb.","holding / terrain / buildings / special_building"
"history/provinces/k_croatia.txt","history_provinces","core","Dogrudan province history: holding, terrain, culture, faith, buildings, special_building vb.","holding / terrain / buildings / special_building"
"history/provinces/k_cuman.txt","history_provinces","core","Dogrudan province history: holding, terrain, culture, faith, buildings, special_building vb.","holding / terrain / buildings / special_building"
"history/provinces/k_cyprus.txt","history_provinces","core","Dogrudan province history: holding, terrain, culture, faith, buildings, special_building vb.","holding / terrain / buildings / special_building"
