"policy_name","final_new_id","placeholder_rgb","placeholder_name","placeholder_reason","final_id_status","notes"
"preserve_old_ids","12773","48,240,48","zz_placeholder_12773","fill_remaining_gap_to_keep_ids_contiguous","draft_placeholder","Draft placeholder row to preserve contiguous IDs in old-id-heavy policy."
"preserve_old_ids","12774","48,240,80","zz_placeholder_12774","fill_remaining_gap_to_keep_ids_contiguous","draft_placeholder","Draft placeholder row to preserve contiguous IDs in old-id-heavy policy."
"preserve_old_ids","12775","48,240,112","zz_placeholder_12775","fill_remaining_gap_to_keep_ids_contiguous","draft_placeholder","Draft placeholder row to preserve contiguous IDs in old-id-heavy policy."
"preserve_old_ids","12776","48,240,144","zz_placeholder_12776","fill_remaining_gap_to_keep_ids_contiguous","draft_placeholder","Draft placeholder row to preserve contiguous IDs in old-id-heavy policy."
"preserve_old_ids","12777","48,240,176","zz_placeholder_12777","fill_remaining_gap_to_keep_ids_contiguous","draft_placeholder","Draft placeholder row to preserve contiguous IDs in old-id-heavy policy."
"preserve_old_ids","12778","48,240,208","zz_placeholder_12778","fill_remaining_gap_to_keep_ids_contiguous","draft_placeholder","Draft placeholder row to preserve contiguous IDs in old-id-heavy policy."
"preserve_old_ids","12779","48,240,240","zz_placeholder_12779","fill_remaining_gap_to_keep_ids_contiguous","draft_placeholder","Draft placeholder row to preserve contiguous IDs in old-id-heavy policy."
"preserve_old_ids","12780","80,16,16","zz_placeholder_12780","fill_remaining_gap_to_keep_ids_contiguous","draft_placeholder","Draft placeholder row to preserve contiguous IDs in old-id-heavy policy."
"preserve_old_ids","12781","80,16,48","zz_placeholder_12781","fill_remaining_gap_to_keep_ids_contiguous","draft_placeholder","Draft placeholder row to preserve contiguous IDs in old-id-heavy policy."
"preserve_old_ids","12782","80,16,80","zz_placeholder_12782","fill_remaining_gap_to_keep_ids_contiguous","draft_placeholder","Draft placeholder row to preserve contiguous IDs in old-id-heavy policy."
"preserve_old_ids","12783","80,16,112","zz_placeholder_12783","fill_remaining_gap_to_keep_ids_contiguous","draft_placeholder","Draft placeholder row to preserve contiguous IDs in old-id-heavy policy."
"preserve_old_ids","12784","80,16,144","zz_placeholder_12784","fill_remaining_gap_to_keep_ids_contiguous","draft_placeholder","Draft placeholder row to preserve contiguous IDs in old-id-heavy policy."
"preserve_old_ids","12785","80,16,176","zz_placeholder_12785","fill_remaining_gap_to_keep_ids_contiguous","draft_placeholder","Draft placeholder row to preserve contiguous IDs in old-id-heavy policy."
"preserve_old_ids","12786","80,16,208","zz_placeholder_12786","fill_remaining_gap_to_keep_ids_contiguous","draft_placeholder","Draft placeholder row to preserve contiguous IDs in old-id-heavy policy."
"preserve_old_ids","12787","80,16,240","zz_placeholder_12787","fill_remaining_gap_to_keep_ids_contiguous","draft_placeholder","Draft placeholder row to preserve contiguous IDs in old-id-heavy policy."
"preserve_old_ids","12788","80,48,16","zz_placeholder_12788","fill_remaining_gap_to_keep_ids_contiguous","draft_placeholder","Draft placeholder row to preserve contiguous IDs in old-id-heavy policy."
"preserve_old_ids","12789","80,48,48","zz_placeholder_12789","fill_remaining_gap_to_keep_ids_contiguous","draft_placeholder","Draft placeholder row to preserve contiguous IDs in old-id-heavy policy."
"preserve_old_ids","12790","80,48,80","zz_placeholder_12790","fill_remaining_gap_to_keep_ids_contiguous","draft_placeholder","Draft placeholder row to preserve contiguous IDs in old-id-heavy policy."
"preserve_old_ids","12791","80,48,112","zz_placeholder_12791","fill_remaining_gap_to_keep_ids_contiguous","draft_placeholder","Draft placeholder row to preserve contiguous IDs in old-id-heavy policy."
