"policy_name","old_id","old_rgb","old_name","old_source","old_subset","final_new_id","final_rgb","final_name","row_type","source_origin","candidate_type","primary_status","rgb_resolution_status","source_id_conflict_status","final_id_status","keeps_current_id","id_changed","rgb_changed","partner_orijinal_old_id","partner_orijinal_old_rgb","partner_orijinal_old_name","notes"
"preserve_old_ids","1","42,3,128","VESTFIRDIR","modlu","modlu_kalan","1","42,3,128","VESTFIRDIR","candidate","modlu","single_source","mod_only","unchanged","no_id_conflict_flag","draft_keep_id","True","False","False","","","",""
"preserve_old_ids","2","84,6,1","REYKJAVIK","modlu","modlu_kalan","2","84,6,1","REYKJAVIK","candidate","modlu","single_source","mod_only","unchanged","no_id_conflict_flag","draft_keep_id","True","False","False","","","",""
"preserve_old_ids","3","126,9,129","STOKKSEYRI","modlu","modlu_kalan","3","126,9,129","STOKKSEYRI","candidate","modlu","single_source","mod_only","unchanged","no_id_conflict_flag","draft_keep_id","True","False","False","","","",""
"preserve_old_ids","4","168,12,2","REYDARFJALL","modlu","modlu_kalan","4","168,12,2","REYDARFJALL","candidate","modlu","single_source","mod_only","unchanged","no_id_conflict_flag","draft_keep_id","True","False","False","","","",""
"preserve_old_ids","5","0,15,130","HUSAVIK","modlu","modlu_kalan","5","0,15,130","HUSAVIK","candidate","modlu","single_source","mod_only","unchanged","no_id_conflict_flag","draft_keep_id","True","False","False","","","",""
"preserve_old_ids","6","168,45,177","TORSHAVN","modlu","modlu_kalan","6","168,45,177","TORSHAVN","candidate","modlu","single_source","mod_only","unchanged","no_id_conflict_flag","draft_keep_id","True","False","False","","","",""
"preserve_old_ids","7","84,21,131","SCALLOWAY","modlu","modlu_kalan","7","84,21,131","SCALLOWAY","candidate","modlu","single_source","mod_only","unchanged","no_id_conflict_flag","draft_keep_id","True","False","False","","","",""
"preserve_old_ids","8","126,24,4","KIRKWALL","modlu","modlu_kalan","8","126,24,4","KIRKWALL","candidate","modlu","single_source","mod_only","unchanged","no_id_conflict_flag","draft_keep_id","True","False","False","","","",""
"preserve_old_ids","9","168,27,132","DONEGAL","modlu","modlu_kalan","9","168,27,132","DONEGAL","candidate","modlu","single_source","mod_only","unchanged","no_id_conflict_flag","draft_keep_id","True","False","False","","","",""
"preserve_old_ids","10","0,30,5","RAPHOE","modlu","modlu_kalan","10","0,30,5","RAPHOE","candidate","modlu","single_source","mod_only","unchanged","no_id_conflict_flag","draft_keep_id","True","False","False","","","",""
"preserve_old_ids","11","42,33,133","FAHAN","modlu","modlu_kalan","11","42,33,133","FAHAN","candidate","modlu","single_source","mod_only","unchanged","no_id_conflict_flag","draft_keep_id","True","False","False","","","",""
"preserve_old_ids","12","84,36,6","DERRY","modlu","modlu_kalan","12","84,36,6","DERRY","candidate","modlu","single_source","mod_only","unchanged","no_id_conflict_flag","draft_keep_id","True","False","False","","","",""
"preserve_old_ids","13","126,39,134","SLEMISH","modlu","modlu_kalan","13","126,39,134","SLEMISH","candidate","modlu","single_source","mod_only","unchanged","no_id_conflict_flag","draft_keep_id","True","False","False","","","",""
"preserve_old_ids","14","168,42,7","CARRICKFERGUS","modlu","modlu_kalan","14","168,42,7","CARRICKFERGUS","candidate","modlu","single_source","mod_only","unchanged","no_id_conflict_flag","draft_keep_id","True","False","False","","","",""
"preserve_old_ids","15","0,45,135","DOWNPATRICK","modlu","modlu_kalan","15","0,45,135","DOWNPATRICK","candidate","modlu","single_source","mod_only","unchanged","no_id_conflict_flag","draft_keep_id","True","False","False","","","",""
"preserve_old_ids","16","42,48,8","BALTIMORE","modlu","modlu_kalan","16","42,48,8","BALTIMORE","candidate","modlu","single_source","mod_only","unchanged","no_id_conflict_flag","draft_keep_id","True","False","False","","","",""
"preserve_old_ids","17","84,51,136","ARMAGH","modlu","modlu_kalan","17","84,51,136","ARMAGH","candidate","modlu","single_source","mod_only","unchanged","no_id_conflict_flag","draft_keep_id","True","False","False","","","",""
"preserve_old_ids","18","126,54,9","DUNDALK","modlu","modlu_kalan","18","126,54,9","DUNDALK","candidate","modlu","single_source","mod_only","unchanged","no_id_conflict_flag","draft_keep_id","True","False","False","","","",""
"preserve_old_ids","19","168,57,137","ARDEE","modlu","modlu_kalan","19","168,57,137","ARDEE","candidate","modlu","single_source","mod_only","unchanged","no_id_conflict_flag","draft_keep_id","True","False","False","","","",""
