"source_label","old_id","final_new_id","old_rgb","effective_rgb","old_name","effective_name","policy_name","keeps_current_id","assignment_type","id_change_reason","notes"
"orijinal","808","808","126,81,4","126,81,4","Tinsukia","Tinsukia","preserve_old_ids","True","keep_current_id","",""
"orijinal","811","811","42,90,133","42,90,133","Carguya","Carguya","preserve_old_ids","True","keep_current_id","",""
"orijinal","826","826","42,135,13","42,135,13","Manipur","Manipur","preserve_old_ids","True","keep_current_id","",""
"orijinal","827","827","84,138,141","84,138,141","Khoupum","Khoupum","preserve_old_ids","True","keep_current_id","",""
"orijinal","828","828","126,141,14","126,141,14","Chatigama","Chatigama","preserve_old_ids","True","keep_current_id","",""
"orijinal","829","829","168,144,142","168,144,142","Candranatha","Candranatha","preserve_old_ids","True","keep_current_id","","Merged benign shared row before final ID assignment."
"orijinal","830","830","0,147,15","0,147,15","Pattikera","Pattikera","preserve_old_ids","True","keep_current_id","",""
"orijinal","854","854","169,90,12","169,90,12","Tlawng","Tlawng","preserve_old_ids","True","keep_current_id","",""
"orijinal","1293","1293","127,45,174","127,45,174","EAST INDIAN OCEAN TI","EAST INDIAN OCEAN TI","preserve_old_ids","True","keep_current_id","","Merged benign shared row before final ID assignment."
"orijinal","1408","1408","169,132,32","169,132,32","Anxi","Anxi","preserve_old_ids","True","keep_current_id","",""
"orijinal","1466","1466","43,138,33","43,138,33","","Eastern Wasteland 1","preserve_old_ids","True","keep_current_id","","Merged benign shared row before final ID assignment."
"orijinal","1468","1468","127,144,34","127,144,34","Onge","Onge","preserve_old_ids","True","keep_current_id","",""
"orijinal","1469","1469","167,238,13","167,238,13","b_xinghua_putian","b_xinghua_putian","preserve_old_ids","True","keep_current_id","",""
"orijinal","1470","1470","68,255,219","68,255,219","b_fuzhou_fuqing","b_fuzhou_fuqing","preserve_old_ids","True","keep_current_id","",""
"orijinal","1496","1496","43,15,48","43,15,48","LAKES EAST OF BURMA","LAKES EAST OF BURMA","preserve_old_ids","True","keep_current_id","",""
"orijinal","3222","383","202,16,154","202,16,154","b_quanzhou_tong_an","b_quanzhou_tong_an","preserve_old_ids","False","reassigned_duplicate","duplicate_current_id_reassigned_into_existing_gap","Same ID maps to different RGB values across subsets."
"orijinal","8543","8543","134,69,199","134,69,199","GOBI DESERT","GOBI DESERT","preserve_old_ids","True","keep_current_id","",""
"orijinal","8556","8556","50,108,78","50,108,78","HIMALAYA","HIMALAYA","preserve_old_ids","True","keep_current_id","",""
"orijinal","8606","8606","50,45,3","50,45,3","river_irrawaddy_delta","river_irrawaddy_delta","preserve_old_ids","True","keep_current_id","",""
"orijinal","8607","8607","92,48,131","92,48,131","river_irrawaddy_delta","river_irrawaddy_delta","preserve_old_ids","True","keep_current_id","",""
"orijinal","8608","8608","134,51,4","134,51,4","river_irrawaddy","river_irrawaddy","preserve_old_ids","True","keep_current_id","",""
"orijinal","8609","8609","176,54,132","176,54,132","river_irrawaddy","river_irrawaddy","preserve_old_ids","True","keep_current_id","",""
"orijinal","8610","8610","8,57,5","8,57,5","river_irrawaddy","river_irrawaddy","preserve_old_ids","True","keep_current_id","",""
"orijinal","8611","8611","50,60,133","50,60,133","river_irrawaddy","river_irrawaddy","preserve_old_ids","True","keep_current_id","",""
"orijinal","8685","8685","8,69,170","8,69,170","sea_bay_of_bengal","sea_bay_of_bengal","preserve_old_ids","True","keep_current_id","","Merged benign shared row before final ID assignment."
"orijinal","8686","8686","50,72,43","50,72,43","sea_gulf_martaban","sea_gulf_martaban","preserve_old_ids","True","keep_current_id","",""
"orijinal","8687","8687","92,75,171","92,75,171","sea_andaman","sea_andaman","preserve_old_ids","True","keep_current_id","","Merged benign shared row before final ID assignment."
"orijinal","8688","8688","134,78,44","134,78,44","sea_bay_of_bengal","sea_bay_of_bengal","preserve_old_ids","True","keep_current_id","","Merged benign shared row before final ID assignment."
"orijinal","8691","8691","50,87,173","50,87,173","sea_andaman","sea_andaman","preserve_old_ids","True","keep_current_id","",""
"orijinal","8722","8722","92,180,61","92,180,61","Karnaphuli","Karnaphuli","preserve_old_ids","True","keep_current_id","",""
"orijinal","8802","8802","0,139,47","0,139,47","b_quanzhou_jinjiang","b_quanzhou_jinjiang","preserve_old_ids","True","keep_current_id","",""
"orijinal","8803","8803","251,169,80","251,169,80","b_quanzhou_anxi","b_quanzhou_anxi","preserve_old_ids","True","keep_current_id","",""
"orijinal","8804","8804","229,206,162","229,206,162","b_quanzhou_dehua","b_quanzhou_dehua","preserve_old_ids","True","keep_current_id","",""
"orijinal","8805","8805","158,47,143","158,47,143","b_zhangzhou_zhangpu","b_zhangzhou_zhangpu","preserve_old_ids","True","keep_current_id","",""
"orijinal","8806","8806","120,46,125","120,46,125","b_zhangzhou_longxi","b_zhangzhou_longxi","preserve_old_ids","True","keep_current_id","",""
"orijinal","8807","8807","57,119,185","57,119,185","b_zhangzhou_longyan","b_zhangzhou_longyan","preserve_old_ids","True","keep_current_id","",""
"orijinal","8808","8808","50,188,31","50,188,31","b_tingzhou_shanghang","b_tingzhou_shanghang","preserve_old_ids","True","keep_current_id","",""
"orijinal","8809","8809","190,74,163","190,74,163","b_tingzhou_liancheng","b_tingzhou_liancheng","preserve_old_ids","True","keep_current_id","",""
"orijinal","8810","8810","248,32,71","248,32,71","b_tingzhou_changting","b_tingzhou_changting","preserve_old_ids","True","keep_current_id","",""
"orijinal","8811","8811","110,3,102","110,3,102","b_tingzhou_wuping","b_tingzhou_wuping","preserve_old_ids","True","keep_current_id","",""
"orijinal","8812","8812","230,218,207","230,218,207","b_tingzhou_ninghua","b_tingzhou_ninghua","preserve_old_ids","True","keep_current_id","",""
