"policy_name","row_type","assignment_type","final_new_id","current_id","keeps_current_id","id_change_reason","placeholder_reason","effective_rgb","effective_name","candidate_type","source_origin","preferred_source_subset","modlu_source_id","modlu_source_rgb","modlu_source_name","orijinal_source_id","orijinal_source_rgb","orijinal_source_name","primary_status","rgb_resolution_status","source_id_conflict_status","final_id_status","notes"
"preserve_old_ids","placeholder","placeholder_fill","12773","","False","","fill_remaining_gap_to_keep_ids_contiguous","48,240,48","zz_placeholder_12773","","placeholder","placeholder","","","","","","","placeholder","placeholder","placeholder","draft_placeholder","Draft placeholder row to preserve contiguous IDs in old-id-heavy policy."
"preserve_old_ids","placeholder","placeholder_fill","12774","","False","","fill_remaining_gap_to_keep_ids_contiguous","48,240,80","zz_placeholder_12774","","placeholder","placeholder","","","","","","","placeholder","placeholder","placeholder","draft_placeholder","Draft placeholder row to preserve contiguous IDs in old-id-heavy policy."
"preserve_old_ids","placeholder","placeholder_fill","12775","","False","","fill_remaining_gap_to_keep_ids_contiguous","48,240,112","zz_placeholder_12775","","placeholder","placeholder","","","","","","","placeholder","placeholder","placeholder","draft_placeholder","Draft placeholder row to preserve contiguous IDs in old-id-heavy policy."
"preserve_old_ids","placeholder","placeholder_fill","12776","","False","","fill_remaining_gap_to_keep_ids_contiguous","48,240,144","zz_placeholder_12776","","placeholder","placeholder","","","","","","","placeholder","placeholder","placeholder","draft_placeholder","Draft placeholder row to preserve contiguous IDs in old-id-heavy policy."
"preserve_old_ids","placeholder","placeholder_fill","12777","","False","","fill_remaining_gap_to_keep_ids_contiguous","48,240,176","zz_placeholder_12777","","placeholder","placeholder","","","","","","","placeholder","placeholder","placeholder","draft_placeholder","Draft placeholder row to preserve contiguous IDs in old-id-heavy policy."
"preserve_old_ids","placeholder","placeholder_fill","12778","","False","","fill_remaining_gap_to_keep_ids_contiguous","48,240,208","zz_placeholder_12778","","placeholder","placeholder","","","","","","","placeholder","placeholder","placeholder","draft_placeholder","Draft placeholder row to preserve contiguous IDs in old-id-heavy policy."
"preserve_old_ids","placeholder","placeholder_fill","12779","","False","","fill_remaining_gap_to_keep_ids_contiguous","48,240,240","zz_placeholder_12779","","placeholder","placeholder","","","","","","","placeholder","placeholder","placeholder","draft_placeholder","Draft placeholder row to preserve contiguous IDs in old-id-heavy policy."
"preserve_old_ids","placeholder","placeholder_fill","12780","","False","","fill_remaining_gap_to_keep_ids_contiguous","80,16,16","zz_placeholder_12780","","placeholder","placeholder","","","","","","","placeholder","placeholder","placeholder","draft_placeholder","Draft placeholder row to preserve contiguous IDs in old-id-heavy policy."
"preserve_old_ids","placeholder","placeholder_fill","12781","","False","","fill_remaining_gap_to_keep_ids_contiguous","80,16,48","zz_placeholder_12781","","placeholder","placeholder","","","","","","","placeholder","placeholder","placeholder","draft_placeholder","Draft placeholder row to preserve contiguous IDs in old-id-heavy policy."
"preserve_old_ids","placeholder","placeholder_fill","12782","","False","","fill_remaining_gap_to_keep_ids_contiguous","80,16,80","zz_placeholder_12782","","placeholder","placeholder","","","","","","","placeholder","placeholder","placeholder","draft_placeholder","Draft placeholder row to preserve contiguous IDs in old-id-heavy policy."
"preserve_old_ids","placeholder","placeholder_fill","12783","","False","","fill_remaining_gap_to_keep_ids_contiguous","80,16,112","zz_placeholder_12783","","placeholder","placeholder","","","","","","","placeholder","placeholder","placeholder","draft_placeholder","Draft placeholder row to preserve contiguous IDs in old-id-heavy policy."
"preserve_old_ids","placeholder","placeholder_fill","12784","","False","","fill_remaining_gap_to_keep_ids_contiguous","80,16,144","zz_placeholder_12784","","placeholder","placeholder","","","","","","","placeholder","placeholder","placeholder","draft_placeholder","Draft placeholder row to preserve contiguous IDs in old-id-heavy policy."
"preserve_old_ids","placeholder","placeholder_fill","12785","","False","","fill_remaining_gap_to_keep_ids_contiguous","80,16,176","zz_placeholder_12785","","placeholder","placeholder","","","","","","","placeholder","placeholder","placeholder","draft_placeholder","Draft placeholder row to preserve contiguous IDs in old-id-heavy policy."
"preserve_old_ids","placeholder","placeholder_fill","12786","","False","","fill_remaining_gap_to_keep_ids_contiguous","80,16,208","zz_placeholder_12786","","placeholder","placeholder","","","","","","","placeholder","placeholder","placeholder","draft_placeholder","Draft placeholder row to preserve contiguous IDs in old-id-heavy policy."
"preserve_old_ids","placeholder","placeholder_fill","12787","","False","","fill_remaining_gap_to_keep_ids_contiguous","80,16,240","zz_placeholder_12787","","placeholder","placeholder","","","","","","","placeholder","placeholder","placeholder","draft_placeholder","Draft placeholder row to preserve contiguous IDs in old-id-heavy policy."
"preserve_old_ids","placeholder","placeholder_fill","12788","","False","","fill_remaining_gap_to_keep_ids_contiguous","80,48,16","zz_placeholder_12788","","placeholder","placeholder","","","","","","","placeholder","placeholder","placeholder","draft_placeholder","Draft placeholder row to preserve contiguous IDs in old-id-heavy policy."
"preserve_old_ids","placeholder","placeholder_fill","12789","","False","","fill_remaining_gap_to_keep_ids_contiguous","80,48,48","zz_placeholder_12789","","placeholder","placeholder","","","","","","","placeholder","placeholder","placeholder","draft_placeholder","Draft placeholder row to preserve contiguous IDs in old-id-heavy policy."
"preserve_old_ids","placeholder","placeholder_fill","12790","","False","","fill_remaining_gap_to_keep_ids_contiguous","80,48,80","zz_placeholder_12790","","placeholder","placeholder","","","","","","","placeholder","placeholder","placeholder","draft_placeholder","Draft placeholder row to preserve contiguous IDs in old-id-heavy policy."
