0;0;0;0;x;x;
808;126;81;4;Tinsukia;x;
811;42;90;133;Carguya;x;
826;42;135;13;Manipur;x;
827;84;138;141;Khoupum;x;
828;126;141;14;Chatigama;x;
829;168;144;142;Candranatha;x;
830;0;147;15;Pattikera;x;
854;169;90;12;Tlawng;x;
1293;127;45;174;EAST INDIAN OCEAN TI;x;
1408;169;132;32;Anxi;x;
1466;43;138;33;;x;
1468;127;144;34;Onge;x; #Little Andaman
1469;167;238;13;b_xinghua_putian;x;
1470;68;255;219;b_fuzhou_fuqing;x;
1496;43;15;48;LAKES EAST OF BURMA;x;
3222;202;16;154;b_quanzhou_tong_an;x;
8543;134;69;199;GOBI DESERT;x;
8556;50;108;78;HIMALAYA;x;
8606;50;45;3;river_irrawaddy_delta;x;
8607;92;48;131;river_irrawaddy_delta;x;
8608;134;51;4;river_irrawaddy;x;
8609;176;54;132;river_irrawaddy;x;
8610;8;57;5;river_irrawaddy;x;
8611;50;60;133;river_irrawaddy;x;
8685;8;69;170;sea_bay_of_bengal;x;
8686;50;72;43;sea_gulf_martaban;x;
8687;92;75;171;sea_andaman;x;
8688;134;78;44;sea_bay_of_bengal;x;
8691;50;87;173;sea_andaman;x;
8722;92;180;61;Karnaphuli;x;
8802;0;139;47;b_quanzhou_jinjiang;x;
8803;251;169;80;b_quanzhou_anxi;x;
8804;229;206;162;b_quanzhou_dehua;x;
8805;158;47;143;b_zhangzhou_zhangpu;x;
8806;120;46;125;b_zhangzhou_longxi;x;
8807;57;119;185;b_zhangzhou_longyan;x;
8808;50;188;31;b_tingzhou_shanghang;x;
8809;190;74;163;b_tingzhou_liancheng;x;
8810;248;32;71;b_tingzhou_changting;x;
8811;110;3;102;b_tingzhou_wuping;x;
8812;230;218;207;b_tingzhou_ninghua;x;
8813;170;92;47;b_nanjianzhou_sha;x;
8814;250;38;146;b_nanjianzhou_youxi;x;
8815;169;76;4;b_nanjianzhou_jianpu;x;
8816;178;235;129;b_nanjianzhou_shunchang;x;
8817;115;136;42;b_nanjianzhou_jiangle;x;
8818;228;230;32;b_jianning_jian_an;x;
