0;0;0;0;x;x
808;126;81;4;Tinsukia;x
811;42;90;133;Carguya;x
826;42;135;13;Manipur;x
827;84;138;141;Khoupum;x
828;126;141;14;Chatigama;x
829;168;144;142;Candranatha;x
830;0;147;15;Pattikera;x
854;169;90;12;Tlawng;x
1293;127;45;174;EAST INDIAN OCEAN TI;x
1408;169;132;32;Anxi;x
1466;43;138;33;Eastern Wasteland 1;x
1468;127;144;34;Eastern Wasteland 3;x
1469;169;147;162;Eastern Wasteland 2;x
1470;1;150;35;Eastern Wasteland 4;x
1488;127;204;44;RUSSIAN LAKES 4;x
1496;43;15;48;LAKES EAST OF BURMA;x
4885;4;171;170;Mountains;x
6305;6;171;180;Mountains;x
7269;175;81;162;Mountains;x
7520;7;195;60;Longcheng;x
7570;7;132;85;Ongi;x
7693;133;75;174;Saranka;x
7696;49;84;48;Oungo;x
7700;7;96;50;Yera;x
7714;175;138;57;Vitim;x
8338;134;93;69;;x
8543;134;69;199;GOBI DESERT;x
8556;50;108;78;HIMALAYA;x
8606;50;45;3;river_irrawaddy_delta;x
8607;92;48;131;river_irrawaddy_delta;x
8608;134;51;4;river_irrawaddy;x
8609;176;54;132;river_irrawaddy;x
8610;8;57;5;river_irrawaddy;x
8611;50;60;133;river_irrawaddy;x
8684;176;66;42;sea_bay_of_bengal;x
8685;8;69;170;sea_bay_of_bengal;x
8686;50;72;43;sea_gulf_martaban;x
8687;92;75;171;sea_andaman;x
8691;50;87;173;ANDAMAN SEA;x
8722;92;180;61;Karnaphuli;x
9168;135;27;84;Hawai;x
9174;177;45;87;Zayu;x
9175;9;48;215;Rima;x
9176;51;51;88;Golag;x
9177;93;54;216;Cawarong;x
9178;135;57;89;Goyu;x
9202;93;129;1;Mountains;x
9252;93;66;26;Mountains;x
9281;51;153;168;Baxoi;x
9282;93;156;41;Zogang;x
9283;135;159;169;Kagong;x
9315;9;42;185;Jangpa;x
9316;51;45;58;Deqen;x
9317;93;48;186;Balung;x
9318;135;51;59;Gyaitang;x
9319;177;54;187;Derong;x
9320;9;57;60;Dabba_Tibet;x
9321;51;60;188;Qagcheng;x
