probe_name,filter_reason,source_province_id,source_name,source_root_title,source_kingdom,source_duchy,source_county,source_barony,target_province_id,target_name,target_root_title,target_kingdom,target_duchy,target_county,target_barony,classification,status,apply_to_history,target_kind,promotion_hint,source_history_exists,confidence,overlap_score,target_coverage,target_source_count_all,target_best_source_id,target_best_overlap_score,target_overlap_gap,notes,top_candidates
c_toungoo_block_probe,target_title_block,11585,Khabaungkyo,e_burma,k_pagan,d_toungoo,c_toungoo,b_khabaungkyo,9595,Swa,e_suvarnabhumi,k_pagan,d_sriksetra,c_toungoo,b_swa,split,manual_review,no,playable,review:high_overlap,yes,0.796040,0.962312,0.766767,1,11585,0.962312,0.962312,auto: top_two_overlap_share,1:9595:0.9623:0.7668 | 2:9636:0.0176:0.0076 | 3:9572:0.0138:0.0150 | 4:9593:0.0063:0.0038
c_toungoo_block_probe,target_title_block,11586,Thalaingma,e_burma,k_pagan,d_toungoo,c_swa,b_thalaingma,9594,Mong_Pai,e_suvarnabhumi,k_pagan,d_sriksetra,c_toungoo,b_mong_pai,merge,manual_review,no,playable,blocked:not_primary_target_source,yes,0.680674,0.867816,0.314911,4,13504,0.987421,0.119605,auto: best_target_shared_by_multiple_sources,1:9594:0.8678:0.3149 | 2:9593:0.0718:0.0192 | 3:11493:0.0603:0.0125
c_toungoo_block_probe,target_title_block,11587,Oktwin,e_burma,k_pagan,d_toungoo,c_toungoo,b_oktwin,9593,Toungoo,e_suvarnabhumi,k_pagan,d_sriksetra,c_toungoo,b_toungoo,merge,manual_review,no,playable,blocked:not_primary_target_source,yes,0.432252,0.541958,0.119231,4,9593,1.000000,0.006667,auto: best_target_shared_by_multiple_sources,1:9593:0.5420:0.1192 | 2:9638:0.4476:0.1842 | 3:9595:0.0070:0.0020 | 4:9636:0.0035:0.0005
c_toungoo_block_probe,target_title_block,9594,Mong_Pai,e_burma,k_shan,d_mongpai,c_mong_pai,b_mong_pai,9594,Mong_Pai,e_suvarnabhumi,k_pagan,d_sriksetra,c_toungoo,b_mong_pai,merge,manual_review,no,playable,blocked:not_primary_target_source,yes,0.510586,0.526316,0.208551,4,13504,0.987421,0.119605,auto: best_target_shared_by_multiple_sources,1:9594:0.5263:0.2086 | 2:11496:0.4053:0.1002 | 3:11493:0.0684:0.0155
c_toungoo_block_probe,target_title_block,11584,Bwihikho,e_burma,k_pagan,d_toungoo,c_toungoo,b_bwihikho,9593,Toungoo,e_suvarnabhumi,k_pagan,d_sriksetra,c_toungoo,b_toungoo,merge,manual_review,no,playable,blocked:not_primary_target_source,yes,0.426243,0.473193,0.156154,4,9593,1.000000,0.006667,auto: best_target_shared_by_multiple_sources,1:9593:0.4732:0.1562 | 2:9594:0.4056:0.1814 | 3:11496:0.1212:0.0338
c_toungoo_block_probe,target_title_block,9593,Toungoo,e_burma,k_pagan,d_toungoo,c_toungoo,b_toungoo,9593,Toungoo,e_suvarnabhumi,k_pagan,d_sriksetra,c_toungoo,b_toungoo,merge,manual_review,no,playable,blocked:shared_target_low_coverage,yes,0.740784,1.000000,0.274615,4,9593,1.000000,0.006667,auto: best_target_shared_by_multiple_sources,1:9593:1.0000:0.2746
c_toungoo_block_probe,target_title_block,9595,Swa,e_burma,k_pagan,d_toungoo,c_swa,b_swa,9593,Toungoo,e_suvarnabhumi,k_pagan,d_sriksetra,c_toungoo,b_toungoo,merge,manual_review,no,playable,blocked:shared_target_low_coverage,yes,0.747524,0.993333,0.343846,4,9593,1.000000,0.006667,auto: best_target_shared_by_multiple_sources,1:9593:0.9933:0.3438 | 2:9571:0.0044:0.0030 | 3:9595:0.0022:0.0010
c_toungoo_block_probe,target_title_block,13504,,,,,,,9594,Mong_Pai,e_suvarnabhumi,k_pagan,d_sriksetra,c_toungoo,b_mong_pai,merge,manual_review,no,playable,blocked:no_source_history,no,0.718109,0.987421,0.163712,4,13504,0.987421,0.119605,auto: best_target_shared_by_multiple_sources,1:9594:0.9874:0.1637 | 2:11493:0.0126:0.0012
c_toungoo_block_probe,target_title_block,11594,Shan Hills,,,,,,9594,Mong_Pai,e_suvarnabhumi,k_pagan,d_sriksetra,c_toungoo,b_mong_pai,merge,manual_review,no,playable,blocked:no_source_history,no,0.464188,0.506667,0.079249,4,13504,0.987421,0.119605,auto: best_target_shared_by_multiple_sources,1:9594:0.5067:0.0792 | 2:9570:0.1867:0.0208 | 3:9571:0.1800:0.0400 | 4:9593:0.1267:0.0146
e_amur_block_probe,target_title_block,14322,FIC_EMan_Wuguijiang,e_tunguse,k_amur,d_eman_boli,c_eman_mohean,b_fic_eman_wuguijiang,12436,FIC_Amur_Oronmu,e_amur,k_amur,d_eman_amar,c_eman_nimen,b_fic_eman_oronmu,split,manual_review,no,playable,review:manual,yes,0.736485,0.872655,0.506434,1,14322,0.872655,0.872655,auto: top_two_overlap_share,1:12436:0.8727:0.5064 | 2:12435:0.1154:0.0926 | 3:12437:0.0114:0.0093 | 4:12439:0.0006:0.0005
e_amur_block_probe,target_title_block,11858,FIC_EMan_Shuilinhai,e_jurchen_china,k_luzhen,d_BAL_anwon,c_BAL_heuksu_anwon,b_FIC_EMan_Shuilinhai,10500,FIC_Amur_Kulikansiggu,e_amur,k_amur,d_eman_bureya,c_eman_urehokto,b_fic_eman_kulikansiggu,split,manual_review,no,playable,review:manual,yes,0.578532,0.639328,0.330439,1,11858,0.639328,0.639328,auto: top_two_overlap_share,1:10500:0.6393:0.3304 | 2:10499:0.1848:0.0805 | 3:10498:0.1640:0.0746 | 4:10497:0.0119:0.0068
e_amur_block_probe,target_title_block,14333,FIC_EMan_Mohean,e_tunguse,k_amur,d_eman_boli,c_eman_mohean,b_fic_eman_mohean,12439,FIC_Amur_Vandarin,e_amur,k_amur,d_eman_amar,c_eman_vanda,b_fic_eman_vandarin,manual_review,manual_review,no,playable,review:manual,yes,0.581218,0.637215,0.518325,1,14333,0.637215,0.637215,auto: low_confidence,1:12439:0.6372:0.5183 | 2:10489:0.1276:0.0765 | 3:12436:0.0848:0.0478 | 4:12438:0.0843:0.0746 | 5:11689:0.0334:0.0205
e_amur_block_probe,target_title_block,14321,EMan_Boli,e_tunguse,k_amur,d_eman_boli,c_eman_boli,b_eman_boli,12437,FIC_Amur_Nimen,e_amur,k_amur,d_eman_amar,c_eman_nimen,b_fic_eman_nimen,split,manual_review,no,playable,review:manual,yes,0.630674,0.604034,0.529302,1,14321,0.604034,0.604034,auto: top_two_overlap_share,1:12437:0.6040:0.5293 | 2:12436:0.2585:0.1607 | 3:1466:0.1375:0.0002
e_amur_block_probe,target_title_block,13912,Sakhalin-Taraika/Shisuka/Poronaysk,e_tunguse,k_ezo,d_sahaliyan,c_tarayka,b_tarayka,12473,FIC_EMan_Dusse_Alin,e_amur,k_amur,d_eman_samagero,c_eman_yam_alin,b_fic_eman_dusse_alin,manual_review,manual_review,no,playable,review:manual,yes,0.529364,0.568173,0.590076,1,13912,0.568173,0.568173,auto: low_confidence,1:12473:0.5682:0.5901 | 2:12485:0.1400:0.0207 | 3:12472:0.1213:0.1816 | 4:1466:0.0886:0.0002 | 5:12477:0.0820:0.0847
e_amur_block_probe,target_title_block,14330,FIC_EMan_Elejiang,e_tunguse,k_amur,d_eman_sikhotebei,c_eman_yerenhe,b_fic_eman_elejiang,12434,FIC_Amur_Uroure,e_amur,k_amur,d_eman_bureya,c_eman_turma,b_fic_eman_uroure,split,manual_review,no,playable,review:manual,yes,0.588286,0.562421,0.651790,1,14330,0.562421,0.562421,auto: top_two_overlap_share,1:12434:0.5624:0.6518 | 2:12435:0.3119:0.3362 | 3:12433:0.0842:0.0730 | 4:10500:0.0216:0.0260 | 5:1466:0.0174:0.0000
e_amur_block_probe,target_title_block,14334,FIC_EMan_Khorhe,e_tunguse,k_amur,d_eman_boli,c_eman_boli,b_fic_eman_khorhe,12438,FIC_Amur_Hara,e_amur,k_amur,d_eman_amar,c_eman_nimen,b_fic_eman_hara,merge,manual_review,no,playable,review:manual,yes,0.488913,0.501358,0.478238,2,14334,0.501358,0.116590,auto: best_target_shared_by_multiple_sources,1:12438:0.5014:0.4782 | 2:12437:0.2607:0.2233 | 3:12439:0.2298:0.2013 | 4:12436:0.0081:0.0049
e_amur_block_probe,target_title_block,14331,FIC_EMan_Bixinshang,e_tunguse,k_amur,d_eman_sikhotebei,c_eman_yerenhe,b_fic_eman_bixinshang,10489,FIC_Amur_Konnovanda,e_amur,k_amur,d_eman_amar,c_eman_vanda,b_fic_eman_konnovanda,merge,manual_review,no,playable,review:manual,yes,0.438565,0.494498,0.252281,2,14331,0.494498,0.124075,auto: best_target_shared_by_multiple_sources,1:10489:0.4945:0.2523 | 2:10499:0.2380:0.1490 | 3:12435:0.1554:0.1031 | 4:12434:0.1121:0.0799
