"id","existing_file","duplicate_file"
"10863","e_china.txt","e_dali.txt"
"11476","e_china.txt","e_dali.txt"
"10905","e_china.txt","e_dali.txt"
"11489","e_china.txt","e_dali.txt"
"11488","e_china.txt","e_dali.txt"
"10877","e_china.txt","e_dali.txt"
"10881","e_china.txt","e_dali.txt"
"10883","e_china.txt","e_dali.txt"
"10884","e_china.txt","e_dali.txt"
"10885","e_china.txt","e_dali.txt"
"10886","e_china.txt","e_dali.txt"
"10874","e_china.txt","e_dali.txt"
"10888","e_china.txt","e_dali.txt"
"10887","e_china.txt","e_dali.txt"
"10869","e_china.txt","e_dali.txt"
"12863","e_china.txt","e_dali.txt"
"10870","e_china.txt","e_dali.txt"
"10876","e_china.txt","e_dali.txt"
"11478","e_china.txt","e_dali.txt"
"12508","e_china.txt","e_dali.txt"
"10907","e_china.txt","e_dali.txt"
"10889","e_china.txt","e_dali.txt"
"11477","e_china.txt","e_dali.txt"
"10890","e_china.txt","e_dali.txt"
"11475","e_china.txt","e_dali.txt"
"10873","e_china.txt","e_dali.txt"
"11474","e_china.txt","e_dali.txt"
"11487","e_china.txt","e_dali.txt"
"10867","e_china.txt","e_dali.txt"
"10872","e_china.txt","e_dali.txt"
"11490","e_china.txt","e_dali.txt"
"10865","e_china.txt","e_dali.txt"
"10866","e_china.txt","e_dali.txt"
"10868","e_china.txt","e_dali.txt"
"10871","e_china.txt","e_dali.txt"
"10847","e_china.txt","e_viet.txt"
"10848","e_china.txt","e_viet.txt"
"10849","e_china.txt","e_viet.txt"
"10852","e_china.txt","e_viet.txt"
"10853","e_china.txt","e_viet.txt"
"10854","e_china.txt","e_viet.txt"
"10851","e_china.txt","e_viet.txt"
"10850","e_china.txt","e_viet.txt"
"10839","e_china.txt","e_viet.txt"
"10840","e_china.txt","e_viet.txt"
"12509","e_china.txt","e_viet.txt"
"11446","e_china.txt","e_viet.txt"
"11492","e_china.txt","e_viet.txt"
"10843","e_china.txt","e_viet.txt"
"10841","e_china.txt","e_viet.txt"
"10842","e_china.txt","e_viet.txt"
"10855","e_china.txt","e_viet.txt"
"10859","e_china.txt","e_viet.txt"
"10862","e_china.txt","e_viet.txt"
"11499","e_china.txt","e_viet.txt"
"10860","e_china.txt","e_viet.txt"
"10858","e_china.txt","e_viet.txt"
"11445","e_china.txt","e_viet.txt"
"11500","e_china.txt","e_viet.txt"
"10844","e_china.txt","e_viet.txt"
"10845","e_china.txt","e_viet.txt"
"10846","e_china.txt","e_viet.txt"
"10861","e_china.txt","e_viet.txt"
"10857","e_china.txt","e_viet.txt"
"10856","e_china.txt","e_viet.txt"
"11827","e_dali.txt","k_balhae.txt"
"11818","e_dali.txt","k_balhae.txt"
"10822","e_dali.txt","k_dvaravati.txt"
"11827","e_dali.txt","k_dvaravati.txt"
"11818","e_dali.txt","k_dvaravati.txt"
"10821","e_dali.txt","k_dvaravati.txt"
"10969","e_dali.txt","k_dvaravati.txt"
"12505","e_dali.txt","k_dvaravati.txt"
"10911","e_dali.txt","k_dvaravati.txt"
"10950","e_dali.txt","k_dvaravati.txt"
"10994","e_dali.txt","k_dvaravati.txt"
"12504","e_dali.txt","k_dvaravati.txt"
"10955","e_dali.txt","k_dvaravati.txt"
"12851","e_dali.txt","k_dvaravati.txt"
"10956","e_dali.txt","k_dvaravati.txt"
"10953","e_dali.txt","k_dvaravati.txt"
"10954","e_dali.txt","k_dvaravati.txt"
"10818","e_dali.txt","k_dvaravati.txt"
"10961","e_dali.txt","k_dvaravati.txt"
