"root","barony","old_vanilla_id","final_new_id","status"
"e_tibet","b_zetang","9230","9230","fallback_mod_barony"
"e_tibet","b_taktse","9226","9226","fallback_mod_barony"
"e_tibet","b_yumbu_lakhang","9229","9229","fallback_mod_barony"
"e_tibet","b_tradruk","9227","","missing_mapping_barony_removed"
"e_tibet","b_qusum","9231","9231","fallback_mod_barony"
"e_tibet","b_nagarze","9223","9223","fallback_mod_barony"
"e_tibet","b_gonggar","9232","9232","fallback_mod_barony"
"e_tibet","b_comai","9225","9225","fallback_mod_barony"
"e_tibet","b_lhozhag","9224","9224","fallback_mod_barony"
"e_tibet","b_gyaca","9233","9233","fallback_mod_barony"
"e_tibet","b_daklha_gampo","9234","9234","fallback_mod_barony"
"e_tibet","b_sangri","9236","","missing_mapping_barony_removed"
"e_tibet","b_nang","9235","9235","fallback_mod_barony"
"e_tibet","b_gedang","9265","9265","fallback_mod_barony"
"e_tibet","b_potala","9238","9238","fallback_mod_barony"
"e_tibet","b_lhasa","9237","9237","fallback_mod_barony"
"e_tibet","b_samye","9228","9228","fallback_mod_barony"
"e_tibet","b_doilungdeqen","9246","9246","fallback_mod_barony"
"e_tibet","b_quxu","9245","9245","fallback_mod_barony"
"e_tibet","b_gyama","9239","9239","fallback_mod_barony"
"e_tibet","b_kunggar","9240","9240","fallback_mod_barony"
"e_tibet","b_drigung","9241","9241","fallback_mod_barony"
"e_tibet","b_paga","9267","","missing_mapping_barony_removed"
"e_tibet","b_mila_tibet","9266","9266","fallback_mod_barony"
"e_tibet","b_lhunzhub","9242","9242","fallback_mod_barony"
"e_tibet","b_ngarnang","9243","9243","fallback_mod_barony"
"e_tibet","b_reting","9244","","missing_mapping_barony_removed"
"e_tibet","b_nyemo","9247","9247","fallback_mod_barony"
"e_tibet","b_qewa","9251","9251","fallback_mod_barony"
"e_tibet","b_damquka","9248","9248","fallback_mod_barony"
"e_tibet","b_nyinhzhong","9249","9249","fallback_mod_barony"
"e_tibet","b_yangpachen","9250","9250","fallback_mod_barony"
"e_tibet","b_nagchu","9255","9255","fallback_mod_barony"
"e_tibet","b_lhomar","9256","9256","fallback_mod_barony"
"e_tibet","b_taksar","9257","9257","fallback_mod_barony"
"e_tibet","b_qangma","9258","9258","fallback_mod_barony"
"e_tibet","b_pukpa","9253","9253","fallback_mod_barony"
"e_tibet","b_xenkyer","9252","","missing_mapping_barony_removed"
"e_tibet","b_balla","9254","9254","fallback_mod_barony"
"e_tibet","b_lhari","9270","9270","fallback_mod_barony"
"e_tibet","b_codoi","9268","","missing_mapping_barony_removed"
"e_tibet","b_lingti","9269","9269","fallback_mod_barony"
"e_tibet","b_cozhelhoma","9261","9261","fallback_mod_barony"
"e_tibet","b_xibde","9260","9260","fallback_mod_barony"
"e_tibet","b_cozhedangma","9264","","missing_mapping_barony_removed"
"e_tibet","b_garco","9262","9262","fallback_mod_barony"
"e_tibet","b_parling","9259","9259","fallback_mod_barony"
"e_tibet","b_dorsoidong","9263","9263","fallback_mod_barony"
"e_tibet","b_garkung","9219","9219","fallback_mod_barony"
"e_tibet","b_margai","9220","9220","fallback_mod_barony"
"e_tibet","b_yurba","9221","9221","fallback_mod_barony"
"e_tibet","b_sewa","9363","","missing_mapping_barony_removed"
"e_tibet","b_dokecoring","9365","","missing_mapping_barony_removed"
"e_tibet","b_yuyico","9367","","missing_mapping_barony_removed"
"e_tibet","b_dokecoring_qangco","9366","9366","fallback_mod_barony"
"e_tibet","b_xigaze","9194","9194","fallback_mod_barony"
"e_tibet","b_nyamo","9198","9198","fallback_mod_barony"
"e_tibet","b_banam","9193","","missing_mapping_barony_removed"
"e_tibet","b_namling","9209","9209","fallback_mod_barony"
"e_tibet","b_tobgyai","9210","9210","fallback_mod_barony"
"e_tibet","b_gyangze","9197","9197","fallback_mod_barony"
"e_tibet","b_rinbung","9196","9196","fallback_mod_barony"
"e_tibet","b_kangmar","9195","9195","fallback_mod_barony"
"e_tibet","b_kamru_2","9192","9192","fallback_mod_barony"
"e_tibet","b_sagya","9190","9190","fallback_mod_barony"
"e_tibet","b_se","9191","9191","fallback_mod_barony"
"e_tibet","b_lhaze","9189","9189","fallback_mod_barony"
"e_tibet","b_kamba","9188","","missing_mapping_barony_removed"
"e_tibet","b_dinggye","9187","9187","fallback_mod_barony"
"e_tibet","b_tsongdu","9183","9183","fallback_mod_barony"
"e_tibet","b_mainpu","9184","","missing_mapping_barony_removed"
"e_tibet","b_tingri","9185","","missing_mapping_barony_removed"
"e_tibet","b_shelkar","9186","9186","fallback_mod_barony"
"e_tibet","b_kungtang","9180","9180","fallback_mod_barony"
"e_tibet","b_gyirong","9181","9181","fallback_mod_barony"
"e_tibet","b_chagne","9182","9182","fallback_mod_barony"
"e_tibet","b_kyakyaru","9083","9083","fallback_mod_barony"
"e_tibet","b_changgo","9081","9081","fallback_mod_barony"
"e_tibet","b_lhagcang","9082","9082","fallback_mod_barony"
"e_tibet","b_kagar","9199","9199","fallback_mod_barony"
"e_tibet","b_sangsang","9200","9200","fallback_mod_barony"
"e_tibet","b_quog","9206","9206","fallback_mod_barony"
"e_tibet","b_goingyibug","9205","","missing_mapping_barony_removed"
"e_tibet","b_caze","9201","9201","fallback_mod_barony"
"e_tibet","b_rusar","9203","9203","fallback_mod_barony"
"e_tibet","b_kunglung","9204","9204","fallback_mod_barony"
"e_tibet","b_tongmoin","9207","9207","fallback_mod_barony"
"e_tibet","b_qingtu","9211","9211","fallback_mod_barony"
"e_tibet","b_leba","9208","9208","fallback_mod_barony"
"e_tibet","b_nyima","9215","9215","fallback_mod_barony"
"e_tibet","b_ladoi","9217","9217","fallback_mod_barony"
"e_tibet","b_sinya","9214","","missing_mapping_barony_removed"
"e_tibet","b_gyagog","9222","9222","fallback_mod_barony"
"e_tibet","b_aso","9216","9216","fallback_mod_barony"
"e_tibet","b_ngoqu","9218","","missing_mapping_barony_removed"
"e_tibet","b_xainza","9212","","missing_mapping_barony_removed"
"e_tibet","b_shyungme","9213","9213","fallback_mod_barony"
"e_tibet","b_qamdo","9302","9302","fallback_mod_barony"
"e_tibet","b_karub","9301","9301","rewritten"
"e_tibet","b_riwoqe","9300","9300","fallback_mod_barony"
"e_tibet","b_yiqen","9284","9284","fallback_mod_barony"
"e_tibet","b_dengqen","9299","9299","fallback_mod_barony"
"e_tibet","b_qizhu","9290","9290","fallback_mod_barony"
"e_tibet","b_damdoi","9291","","missing_mapping_barony_removed"
"e_tibet","b_baqen","9297","9297","fallback_mod_barony"
"e_tibet","b_lhaxi","9298","9298","fallback_mod_barony"
"e_tibet","b_arxog","9296","9296","fallback_mod_barony"
"e_tibet","b_sog","9294","9294","fallback_mod_barony"
"e_tibet","b_riwar","9295","","missing_mapping_barony_removed"
"e_tibet","b_biru","9293","9293","fallback_mod_barony"
"e_tibet","b_xamqu","9292","9292","fallback_mod_barony"
"e_tibet","b_banbar","9287","9287","fallback_mod_barony"
"e_tibet","b_jaggang","9288","9288","fallback_mod_barony"
"e_tibet","b_lhorong","9289","9289","fallback_mod_barony"
"e_tibet","b_bome","9279","9279","fallback_mod_barony"
"e_tibet","b_zhamog","9277","9277","fallback_mod_barony"
"e_tibet","b_kangyu","9285","9285","fallback_mod_barony"
"e_tibet","b_qundo","9286","9286","fallback_mod_barony"
"e_tibet","b_baxoi","9281","9281","rewritten"
"e_tibet","b_rawu","9278","9278","fallback_mod_barony"
"e_tibet","b_zogang","9282","9282","rewritten"
"e_tibet","b_kagong","9283","9283","rewritten"
"e_tibet","b_nyingchi","9275","9275","fallback_mod_barony"
"e_tibet","b_burqug","9271","9271","fallback_mod_barony"
"e_tibet","b_lunang","9276","9276","fallback_mod_barony"
"e_tibet","b_yiong","9280","9280","fallback_mod_barony"
"e_tibet","b_gongbo","9273","","missing_mapping_barony_removed"
"e_tibet","b_nyang","9272","","missing_mapping_barony_removed"
"e_tibet","b_pagsum","9274","","missing_mapping_barony_removed"
"e_tibet","b_nangqen","9304","9304","fallback_mod_barony"
"e_tibet","b_nyangla","9305","9305","fallback_mod_barony"
"e_tibet","b_gyegumdo","9306","9306","fallback_mod_barony"
"e_tibet","b_longbaoco","9307","9307","fallback_mod_barony"
"e_tibet","b_lhatok","9303","9303","fallback_mod_barony"
"e_tibet","b_jomda","9308","9308","fallback_mod_barony"
"e_tibet","b_derdoin","9309","9309","fallback_mod_barony"
"e_tibet","b_yendum","9312","9312","fallback_mod_barony"
"e_tibet","b_rongzhub","9313","9313","fallback_mod_barony"
"e_tibet","b_bolo","9310","9310","fallback_mod_barony"
"e_tibet","b_bumgye","9311","9311","fallback_mod_barony"
"e_tibet","b_lingtsang","9349","9349","fallback_mod_barony"
"e_tibet","b_serxu","9348","9348","fallback_mod_barony"
"e_tibet","b_ariksar","9350","9350","fallback_mod_barony"
"e_tibet","b_tromsa_genma","9351","9351","fallback_mod_barony"
"e_tibet","b_dege","9343","9343","fallback_mod_barony"
"e_tibet","b_palpung","9344","9344","fallback_mod_barony"
"e_tibet","b_dzogchen","9345","9345","fallback_mod_barony"
"e_tibet","b_pelyul","9352","9352","fallback_mod_barony"
"e_tibet","b_katok","9326","9326","fallback_mod_barony"
"e_tibet","b_manigango","9346","9346","fallback_mod_barony"
"e_tibet","b_garze","9340","9340","fallback_mod_barony"
"e_tibet","b_axu","9347","9347","fallback_mod_barony"
"e_tibet","b_batang","9323","9323","fallback_mod_barony"
"e_tibet","b_dewu","9353","9353","rewritten"
"e_tibet","b_qagcheng","9321","9321","rewritten"
"e_tibet","b_markam","9314","9314","fallback_mod_barony"
"e_tibet","b_jangpa","9315","9315","rewritten"
"e_tibet","b_deqen","9316","9316","rewritten"
"e_tibet","b_balung","9317","9317","rewritten"
"e_tibet","b_gyaitang","9318","9318","rewritten"
"e_tibet","b_takchongrong","9322","9322","rewritten"
"e_tibet","b_derong","9319","9319","rewritten"
"e_tibet","b_litang","9325","9325","fallback_mod_barony"
"e_tibet","b_nyagqu","9327","9327","fallback_mod_barony"
"e_tibet","b_lenggu","9324","9324","rewritten"
"e_tibet","b_dabba_tibet","9320","9320","rewritten"
"e_tibet","b_muli","11454","11454","rewritten"
"e_tibet","b_nyagrong","9336","9336","fallback_mod_barony"
"e_tibet","b_jalhaxi","9339","9339","fallback_mod_barony"
