"province_id","root","barony"
"11474","h_china","b_anning"
"11474","e_xi_xia","b_anning"
"11572","e_great_liao","b_FIC_Mong_Jiasaihe"
"11572","e_andong","b_FIC_Mong_Jiasaihe"
"11573","e_great_liao","b_FIC_Mong_Dongheisha"
"11573","e_andong","b_FIC_Mong_Dongheisha"
"11574","e_great_liao","b_FIC_Mong_Chezier"
"11574","e_andong","b_FIC_Mong_Chezier"
"11575","e_great_liao","b_FIC_Mong_Kharulagai"
"11575","e_andong","b_FIC_Mong_Kharulagai"
"11652","e_great_liao","b_FIC_Amur_Jianali"
"11652","e_andong","b_FIC_Amur_Jianali"
"11653","e_great_liao","b_FIC_Amur_Nalidu"
"11653","e_andong","b_FIC_Amur_Nalidu"
"11654","e_great_liao","b_Amur_Taizhou"
"11654","e_andong","b_Amur_Taizhou"
"11655","e_great_liao","b_FIC_Amur_Hongan"
"11655","e_andong","b_FIC_Amur_Hongan"
"11656","e_great_liao","b_FIC_Amur_Shangwulu"
"11656","e_andong","b_FIC_Amur_Shangwulu"
"11703","e_great_liao","b_FIC_Liao_Ulanulagai"
"11703","e_andong","b_FIC_Liao_Ulanulagai"
"11704","e_great_liao","b_FIC_Liao_Ulanuer"
"11704","e_andong","b_FIC_Liao_Ulanuer"
"11705","e_great_liao","b_FIC_Liao_Charnoer"
"11705","e_andong","b_FIC_Liao_Charnoer"
"11706","e_great_liao","b_FIC_Liao_Xilin"
"11706","e_andong","b_FIC_Liao_Xilin"
"11707","e_great_liao","b_Liao_Qingzhou"
"11707","e_andong","b_Liao_Qingzhou"
"11708","e_great_liao","b_Liao_Huaizhou"
"11708","e_andong","b_Liao_Huaizhou"
"11709","e_great_liao","b_Liao_Linhuang"
"11709","e_andong","b_Liao_Linhuang"
"11710","e_great_liao","b_Liao_Songzhanzhou"
"11710","e_andong","b_Liao_Songzhanzhou"
"11711","e_great_liao","b_Liao_Zuzhou"
"11711","e_andong","b_Liao_Zuzhou"
"11712","e_great_liao","b_Liao_Raozhou"
"11712","e_andong","b_Liao_Raozhou"
"11713","e_great_liao","b_FIC_Liao_Dalinuor"
"11713","e_andong","b_FIC_Liao_Dalinuor"
"11714","e_great_liao","b_FIC_Liao_Hongdali"
"11714","e_andong","b_FIC_Liao_Hongdali"
"11715","e_great_liao","b_Liao_Yikunzhou"
"11715","e_andong","b_Liao_Yikunzhou"
"11716","e_great_liao","b_Liao_Fengzhou"
"11716","e_andong","b_Liao_Fengzhou"
"11717","e_great_liao","b_Liao_Yungzhou"
"11717","e_andong","b_Liao_Yungzhou"
"11718","e_great_liao","b_Liao_Gaozhou"
"11718","e_andong","b_Liao_Gaozhou"
"11719","e_great_liao","b_Liao_Songshanzhou"
"11719","e_andong","b_Liao_Songshanzhou"
"11720","e_great_liao","b_Liao_Enzhou"
"11720","e_andong","b_Liao_Enzhou"
"11721","e_great_liao","b_Liao_Dading"
"11721","e_andong","b_Liao_Dading"
"11722","e_great_liao","b_FIC_Liao_Wuluan"
"11722","e_andong","b_FIC_Liao_Wuluan"
"11723","e_great_liao","b_FIC_Liao_Liquan"
"11723","e_andong","b_FIC_Liao_Liquan"
"11724","e_great_liao","b_Liao_Wuzhou"
"11724","e_andong","b_Liao_Wuzhou"
"11725","e_great_liao","b_FIC_Liao_Matudi"
"11725","e_andong","b_FIC_Liao_Matudi"
