"root","barony","old_vanilla_id","final_new_id","final_name","status"
"e_tibet","b_zetang","9230","","","missing_tracking_removed"
"e_tibet","b_taktse","9226","","","missing_tracking_removed"
"e_tibet","b_yumbu_lakhang","9229","","","missing_tracking_removed"
"e_tibet","b_tradruk","9227","","","missing_tracking_removed"
"e_tibet","b_qusum","9231","","","missing_tracking_removed"
"e_tibet","b_nagarze","9223","","","missing_tracking_removed"
"e_tibet","b_gonggar","9232","","","missing_tracking_removed"
"e_tibet","b_comai","9225","","","missing_tracking_removed"
"e_tibet","b_lhozhag","9224","","","missing_tracking_removed"
"e_tibet","b_gyaca","9233","","","missing_tracking_removed"
"e_tibet","b_daklha_gampo","9234","","","missing_tracking_removed"
"e_tibet","b_sangri","9236","","","missing_tracking_removed"
"e_tibet","b_nang","9235","","","missing_tracking_removed"
"e_tibet","b_gedang","9265","","","missing_tracking_removed"
"e_tibet","b_potala","9238","","","missing_tracking_removed"
"e_tibet","b_lhasa","9237","","","missing_tracking_removed"
"e_tibet","b_samye","9228","","","missing_tracking_removed"
"e_tibet","b_doilungdeqen","9246","","","missing_tracking_removed"
"e_tibet","b_quxu","9245","","","missing_tracking_removed"
"e_tibet","b_gyama","9239","","","missing_tracking_removed"
"e_tibet","b_kunggar","9240","","","missing_tracking_removed"
"e_tibet","b_drigung","9241","","","missing_tracking_removed"
"e_tibet","b_paga","9267","","","missing_tracking_removed"
"e_tibet","b_mila_tibet","9266","","","missing_tracking_removed"
"e_tibet","b_lhunzhub","9242","","","missing_tracking_removed"
"e_tibet","b_ngarnang","9243","","","missing_tracking_removed"
"e_tibet","b_reting","9244","","","missing_tracking_removed"
"e_tibet","b_nyemo","9247","","","missing_tracking_removed"
"e_tibet","b_qewa","9251","","","missing_tracking_removed"
"e_tibet","b_damquka","9248","","","missing_tracking_removed"
"e_tibet","b_nyinhzhong","9249","","","missing_tracking_removed"
"e_tibet","b_yangpachen","9250","","","missing_tracking_removed"
"e_tibet","b_nagchu","9255","","","missing_tracking_removed"
"e_tibet","b_lhomar","9256","","","missing_tracking_removed"
"e_tibet","b_taksar","9257","","","missing_tracking_removed"
"e_tibet","b_qangma","9258","","","missing_tracking_removed"
"e_tibet","b_pukpa","9253","","","missing_tracking_removed"
"e_tibet","b_xenkyer","9252","","","missing_tracking_removed"
"e_tibet","b_balla","9254","","","missing_tracking_removed"
"e_tibet","b_lhari","9270","","","missing_tracking_removed"
"e_tibet","b_codoi","9268","","","missing_tracking_removed"
"e_tibet","b_lingti","9269","","","missing_tracking_removed"
"e_tibet","b_cozhelhoma","9261","","","missing_tracking_removed"
"e_tibet","b_xibde","9260","","","missing_tracking_removed"
"e_tibet","b_cozhedangma","9264","","","missing_tracking_removed"
"e_tibet","b_garco","9262","","","missing_tracking_removed"
"e_tibet","b_parling","9259","","","missing_tracking_removed"
