source_title_id, mod_title_id, is_same_title_id,
e_amur, e_tunguse, no,
k_amur, k_amur, yes,
k_aynumosir, k_ezo, no,
k_hitakami, k_hitakami, yes,
d_eman_amar, d_eman_amar, yes,
d_eman_boli, d_eman_boli, yes,
d_eman_bureya, d_eman_bureya, yes,
d_eman_nivkhia, d_eman_nivkhia, yes,
d_eman_samagero, d_eman_samagero, yes,
d_eman_sikhotebei, d_eman_sikhotebei, yes,
d_menas, d_higashiezo, no,
d_sahaliyan, d_sahaliyan, yes,
d_sum, d_sum, yes,
d_hitakami, d_mutsu, no,
d_nushiro, d_dewa, no,
c_eman_murkonno, c_eman_murkonno, yes,
c_eman_nimen, c_eman_nimen, yes,
c_eman_urmi, c_eman_urmi, yes,
c_eman_vanda, c_eman_vanda, yes,
c_eman_boli, c_eman_boli, yes,
c_eman_choripi, c_eman_choripi, yes,
c_eman_mohean, c_eman_mohean, yes,
c_eman_molihewen, c_eman_molihewen, yes,
c_eman_birija, c_eman_birija, yes,
c_eman_turma, c_eman_turma, yes,
c_eman_urehokto, c_eman_urehokto, yes,
c_eman_amgun, c_eman_amgun, yes,
c_eman_nurgan, c_eman_nurgan, yes,
c_eman_tugur, c_eman_tugur, yes,
c_eman_kerin, c_eman_kerin, yes,
c_eman_khadul, c_eman_khadul, yes,
c_eman_tudali, c_eman_tudali, yes,
c_eman_yam_alin, c_eman_yam_alin, yes,
c_eman_beihean, c_eman_beihean, yes,
c_eman_heishuiyang, c_eman_heishuiyang, yes,
c_eman_wuguihai, c_eman_wuguihai, yes,
c_eman_yerenhe, c_eman_yerenhe, yes,
c_chupka, c_chishima, no,
c_menas, c_tokachi, no,
c_simenas, c_kushiro, no,
c_soya, c_kitami, no,
c_kusunkotan, c_kusunkotan, yes,
c_pogibi, c_pogibi, yes,
c_tarayka, c_tarayka, yes,
c_ioci, c_shiribeshi, no,
c_iskar, c_ishikari, no,
c_sum, c_hidaka, no,
c_uskes, c_oshima, no,
c_isawa, c_isawa, yes,
c_iwaki, c_iwaki, yes,
c_iwase, c_iwase, yes,
c_korehari, c_korehari, yes,
c_tsugaru, c_tsugaru, yes,
c_nushiro, c_nushiro, yes,
c_tokisara, c_tokisara, yes,
b_fic_eman_bira, b_fic_eman_bira, yes,
b_fic_eman_chulabira, b_fic_eman_chulabira, yes,
b_fic_eman_khimin, b_fic_eman_khimin, yes,
b_fic_eman_pichan, b_fic_eman_pichan, yes,
b_fic_eman_hara, b_fic_eman_hara, yes,
b_fic_eman_nimen, b_fic_eman_nimen, yes,
b_fic_eman_oronmu, b_fic_eman_oronmu, yes,
b_fic_eman_kirga, b_fic_eman_kirga, yes,
b_fic_eman_urmi, b_fic_eman_urmi, yes,
b_fic_eman_hulavanda, b_fic_eman_hulavanda, yes,
b_fic_eman_konnovanda, b_fic_eman_konnovanda, yes,
b_fic_eman_vandarin, b_fic_eman_vandarin, yes,
b_eman_boli, b_eman_boli, yes,
b_fic_eman_alimenan, b_fic_eman_alimenan, yes,
b_fic_eman_khorhe, b_fic_eman_khorhe, yes,
b_fic_eman_nanshuian, b_fic_eman_nanshuian, yes,
b_fic_eman_choripi, b_fic_eman_choripi, yes,
b_fic_eman_kuru, b_fic_eman_kuru, yes,
b_fic_eman_uada_alin, b_fic_eman_uada_alin, yes,
b_fic_eman_mohean, b_fic_eman_mohean, yes,
b_fic_eman_wuguijiang, b_fic_eman_wuguijiang, yes,
b_fic_eman_yemanshui, b_fic_eman_yemanshui, yes,
b_eman_molihewen, b_eman_molihewen, yes,
b_fic_eman_bolon, b_fic_eman_bolon, yes,
b_fic_eman_heishanan, b_fic_eman_heishanan, yes,
b_fic_eman_shangkhor, b_fic_eman_shangkhor, yes,
b_fic_eman_birigugda,
b_fic_eman_birija, b_fic_eman_birija, yes,
b_fic_eman_molamu, b_fic_eman_molamu, yes,
b_fic_eman_turma, b_fic_eman_turma, yes,
b_fic_eman_uroure, b_fic_eman_uroure, yes,
b_fic_eman_kulikansiggu, b_fic_eman_kulikansiggu, yes,
b_fic_eman_umilimo, b_fic_eman_umilimo, yes,
b_fic_eman_amgun, b_fic_eman_amgun, yes,
b_fic_eman_chlya, b_fic_eman_chlya, yes,
b_fic_eman_orel, b_fic_eman_orel, yes,
b_eman_nurgan, b_eman_nurgan, yes,
b_fic_eman_chagal, b_fic_eman_chagal, yes,
b_fic_eman_ekiti, b_fic_eman_ekiti, yes,
b_fic_eman_kamer, b_fic_eman_kamer, yes,
b_fic_eman_tugur, b_fic_eman_tugur, yes,
b_fic_eman_usalgin, b_fic_eman_usalgin, yes,
b_fic_eman_ymila, b_fic_eman_ymila, yes,
b_fic_eman_kerin, b_fic_eman_kerin, yes,
b_fic_eman_pilda, b_fic_eman_pilda, yes,
b_fic_eman_chayatin, b_fic_eman_chayatin, yes,
b_fic_eman_henkon, b_fic_eman_henkon, yes,
b_fic_eman_khadul, b_fic_eman_khadul, yes,
b_fic_eman_bureya, b_fic_eman_bureya, yes,
b_fic_eman_evoron, b_fic_eman_evoron, yes,
b_fic_eman_tudali, b_fic_eman_tudali, yes,
b_fic_eman_dusse_alin, b_fic_eman_dusse_alin, yes,
b_fic_eman_imelen, b_fic_eman_imelen, yes,
b_fic_eman_yam_alin, b_fic_eman_yam_alin, yes,
b_fic_eman_beihean, b_fic_eman_beihean, yes,
b_fic_eman_silbaki, b_fic_eman_silbaki, yes,
b_fic_eman_heishuiyang, b_fic_eman_heishuiyang, yes,
b_fic_eman_melersuki, b_fic_eman_melersuki, yes,
b_fic_eman_senkele, b_fic_eman_senkele, yes,
b_fic_eman_shuishanpu, b_fic_eman_shuishanpu, yes,
b_fic_eman_wuguihai, b_fic_eman_wuguihai, yes,
b_fic_eman_xiaoheijiang, b_fic_eman_xiaoheijiang, yes,
b_fic_eman_bixinshang, b_fic_eman_bixinshang, yes,
b_fic_eman_elejiang, b_fic_eman_elejiang, yes,
b_fic_eman_yerenhe, b_fic_eman_yerenhe, yes,
b_etuworop_sir,
b_kinasir,
b_opereperkep,
b_pior, b_pior, yes,
b_tokapusi,
b_cipasir,
b_kusuri,
b_nimuoro,
b_sir_etok,
b_mopet,
b_nay_or,
b_soya, b_soya, yes,
b_tes_uni,
b_kusunkotan, b_kusunkotan, yes,
b_kusunnay, b_kusunnay, yes,
b_pontukes, b_pontukes, yes,
b_idoi, b_idoi, yes,
b_pogibi, b_pogibi, yes,
b_tym_sakhalin, b_tym_sakhalin, yes,
b_eusutur, b_eusutur, yes,
b_ketuni, b_ketuni, yes,
b_tarayka, b_tarayka, yes,
b_aptapet_ainu,
b_ioci, b_ioci, yes,
b_otarunay, b_otarunay, yes,
b_setanay,
b_cup_pet,
b_iskar_hokkaido, b_iskar_hokkaido, yes,
b_rurmo_otpe,
b_sorapci,
b_iput,
b_moruran,
b_sar,
b_sipicar, b_sipicar, yes,
b_kayaunpesh, b_kayaunpesh, yes,
b_kumausi, b_kumausi, yes,
b_matomai,
b_uskes,
b_hei, b_hei, yes,
b_isawa, b_isawa, yes,
b_kuriyagawa,
b_nukanobu, b_nukanobu, yes,
b_iwaki, b_iwaki, yes,
b_namekata, b_namekata, yes,
b_shirakawa, b_shirakawa, yes,
b_adachi,
b_aizu, b_aizu, yes,
b_iwase, b_iwase, yes,
b_yama_iwase,
b_kesen, b_kesen, yes,
b_korehari,
b_momunofu,
b_taga, b_taga, yes,
b_nisattai,
b_tsugaru, b_tsugaru, yes,
b_tsumo,
b_usori,
b_agita,
b_hotta,
b_nushiro,
b_okachi,
b_yuri, b_yuri, yes,
b_mogami, b_mogami, yes,
b_okitama, b_okitama, yes,
b_tokisara,
e_andong, e_jurchen_china, no,
k_balhae, k_balhae, yes,
k_khitan, k_khitan_china, no,
k_luzhen, k_luzhen, yes,
k_raole, k_liao_zhongjing, no,
k_shiwei, k_shiwei, yes,
d_BAL_amnok_jangryeong, d_gewu_china, no,
d_BAL_buyeo, d_xianping_china, no,
d_BAL_moe_su, d_sumo_china, no,
d_BAL_parhae, d_balhae_china, no,
d_BAL_southern_balhae, d_okjeo_china, no,
d_LIAO_dongjing, d_liaodong_china, no,
d_LIAO_linhuang, d_xarmoron_china, no,
d_LIAO_shangjing, d_changchun_china, no,
d_BAL_anwon, d_BAL_anwon, yes,
d_BAL_cheolli, d_BAL_cheolli, yes,
d_BAL_dongpyeong, d_BAL_dongpyeong, yes,
d_BAL_hoewon, d_BAL_hoewon, yes,
d_BAL_yeojintang, d_BAL_yeojintang, yes,
d_LIAO_zhongjing, d_tohchen_china, no,
d_liaoxi, d_liaoxi_china, no,
d_yanyun_yuyi, d_hiyaxu_china, no,
d_SW_dashiweiguo, d_SW_dashiweiguo, yes,
d_SW_heicheziguo, d_SW_heicheziguo, yes,
d_SW_lingxiguo, d_SW_lingxiguo, yes,
d_SW_puyudao, d_SW_puyudao, yes,
d_SW_qingxingan, d_SW_qingxingan, yes,
d_SW_ruzheguo, d_SW_ruzheguo, yes,
d_SW_sushenguo, d_SW_sushenguo, yes,
c_BAL_east_amnok, c_hwando_china, no,
c_BAL_east_jangryeong, c_changling_china, no,
c_BAL_west_amnok, c_pozhuo_china, no,
c_BAL_west_jangryeong, c_changling_china (second), no,
c_BAL_changchun, c_fuyu_china, no,
c_BAL_fuzhou, c_xianping_china, no,
c_BAL_xinzhou, c_sumozhou_china, no,
c_BAL_yizhou, c_huanglong_china, no,
c_BAL_makhil, c_udger_china, no,
c_BAL_sokju, c_sumozhou_china (second), no,
c_BAL_west_makhil, c_achu_china, no,
c_BAL_dongju, c_tongzhou_bohai_china, no,
c_BAL_east_hyeondeok, c_baishan_china, no,
c_BAL_west_hyeondeok, c_xianzhou_sumo_china, no,
c_BAL_yeongju, c_mudan_china, no,
c_BAL_yongcheon, c_huhan_china, no,
c_BAL_fengzhou, c_helan_china, no,
c_BAL_namhae, c_nanhai_okjeo_china, no,
c_BAL_northyongwon, c_longyuan_china, no,
c_BAL_southyongwon, c_helan_china (second), no,
c_LIAO_diezhou, c_anshi_china, no,
c_LIAO_guidezhou, c_guidezhou_china, no,
c_LIAO_shenyang, c_liaodong_china, no,
c_LIAO_yinzhou, c_shenzhou_liao_china, no,
c_LIAO_zhenzhou, c_jilizhou_china, no,
c_LIAO_dalian, c_LIAO_dalian, yes,
c_LIAO_heicaoan, c_LIAO_heicaoan, yes,
c_LIAO_linhuang, c_LIAO_linhuang, yes,
c_LIAO_longhuazhou, c_LIAO_longhuazhou, yes,
c_LIAO_raozhou, c_LIAO_raozhou, yes,
c_LIAO_ulagaian, c_LIAO_ulagaian, yes,
c_LIAO_changchun, c_LIAO_changchun, yes,
c_LIAO_horqinan, c_LIAO_horqinan, yes,
c_LIAO_ningzhou, c_LIAO_ningzhou, yes,
c_LIAO_taizhou, c_LIAO_taizhou, yes,
c_LIAO_wuzhou, c_LIAO_wuzhou, yes,
c_BAL_heuksu_anwon, c_BAL_heuksu_anwon, yes,
c_BAL_ningzhou, c_BAL_ningzhou, yes,
c_BAL_north_anwon, c_BAL_north_anwon, yes,
c_BAL_supin, c_BAL_supin, yes,
c_BAL_delizhen, c_BAL_delizhen, yes,
c_BAL_huligai, c_BAL_huligai, yes,
c_BAL_west_cheolli, c_BAL_west_cheolli, yes,
c_BAL_dongpyeong_yizhou, c_BAL_dongpyeong_yizhou, yes,
c_BAL_jixi, c_BAL_jixi, yes,
c_BAL_central_hoewon, c_BAL_central_hoewon, yes,
c_BAL_dazhou, c_BAL_dazhou, yes,
c_BAL_east_hoewon, c_BAL_east_hoewon, yes,
c_BAL_ilanshan, c_BAL_ilanshan, yes,
c_BAL_south_hoewon, c_BAL_south_hoewon, yes,
c_BAL_anbyeon, c_BAL_anbyeon, yes,
c_BAL_jeongni, c_BAL_jeongni, yes,
c_BAL_north_anbyeon, c_BAL_north_anbyeon, yes,
c_BAL_solbin, c_BAL_solbin, yes,
c_LIAO_dading, c_LIAO_dading, yes,
c_liao_fengzhou, c_liao_fengzhou, yes,
c_lxj_yuyidong, c_lxj_yuyidong, yes,
c_lzj_chengde, c_lzj_chengde, yes,
c_lzj_chengdexi, c_lzj_chengdexi, yes,
c_woye, c_woye, yes,
c_LIAO_chaoyang, c_xingzhong_liaoxi_china, no,
c_LIAO_jinzhou, c_yingzhou_liaoxi_china, no,
c_LIAO_liaozhou, c_yizhou_liaoxi_china, no,
c_LIAO_xianzhou, c_liaoxi_china, no,
c_lnj_liaoxi, c_ruizhou_liaoxi_china, no,
c_lnj_liaoxibei, c_lizhou_liaoxi_china, no,
c_lxj_huanzhou, c_lxj_huanzhou, yes,
c_lxj_yangchengzhou, c_lxj_yangchengzhou, yes,
c_SW_ergunia, c_SW_ergunia, yes,
c_SW_hailar, c_SW_hailar, yes,
c_SW_heiergun, c_SW_heiergun, yes,
c_SW_mengwuo, c_SW_mengwuo, yes,
c_SW_pibeihe, c_SW_pibeihe, yes,
c_SW_dongcheziguo, c_SW_dongcheziguo, yes,
c_SW_hongxingan, c_SW_hongxingan, yes,
c_SW_hulunbuir, c_SW_hulunbuir, yes,
c_SW_zhongcheziguo, c_SW_zhongcheziguo, yes,
c_SW_heiheguo, c_SW_heiheguo, yes,
c_SW_lingxiguo, c_SW_lingxiguo, yes,
c_SW_powoguo, c_SW_powoguo, yes,
c_SW_damoguo, c_SW_damoguo, yes,
c_SW_heilonghean, c_SW_heilonghean, yes,
c_SW_puyuzhou, c_SW_puyuzhou, yes,
c_SW_shanbeiguo, c_SW_shanbeiguo, yes,
c_SW_huangtouguo, c_SW_huangtouguo, yes,
c_SW_luotuoguo, c_SW_luotuoguo, yes,
c_SW_nabeiguo, c_SW_nabeiguo, yes,
c_SW_xinghuangtou, c_SW_xinghuangtou, yes,
c_SW_xingnabei, c_SW_xingnabei, yes,
c_SW_dongruzhe, c_SW_dongruzhe, yes,
c_SW_jiqin_hari, c_SW_jiqin_hari, yes,
c_SW_ruzhejiang, c_SW_ruzhejiang, yes,
c_SW_fancao, c_SW_fancao, yes,
c_SW_gonghejiang, c_SW_gonghejiang, yes,
c_SW_heilonglin, c_SW_heilonglin, yes,
c_SW_lupingyuan, c_SW_lupingyuan, yes,
c_SW_suihua, c_SW_suihua, yes,
b_FIC_Liao_Changbaishan,
b_FIC_Liao_Tianchi,
b_Liao_Fusong,
b_Liao_Luzhou2, b_Liao_Luzhou2, yes,
b_Liao_Xijing,
b_FIC_Liao_Beichang,
b_FIC_Liao_Quliuan,
b_Liao_Changling, b_changling_china, no,
b_FIC_Liao_Yaluan,
b_Liao_Huanzhou,
b_Liao_Kuandianzi, b_Liao_Kuandianzi, yes,
b_Liao_Zhengzhou,
b_FIC_Liao_Baichang,
b_FIC_Liao_Hongfucun,
b_Liao_Hezhou,
b_Liao_Binzhou,
b_Liao_Changchun2,
b_Liao_Weizhou,
b_Liao_Xiangzhou,
b_Liao_Fuzhou2,
b_Liao_Suzhou, b_suzhou, no,
b_Liao_Tonghua,
b_Liao_Xianzhou2,
b_FIC_Liao_Fuyunan,
b_Liao_Xinzhou,
b_Liao_Fengzhou3,
b_Liao_Jizhou,
b_Liao_Yizhou,
b_FIC_Liao_Longfengshan,
b_FIC_Liao_Nanmoan,
b_Liao_Gaozhou2,
b_Liao_Mozhou, b_mozhou_china, no,
b_FIC_Liao_Suping,
b_Liao_Suzhou2,
b_Liao_Yongji,
b_FIC_Liao_Moedu,
b_FIC_Liao_Ximoan,
b_Liao_Ningjiang,
b_FIC_Liao_Tongan,
b_Liao_Sushen,
b_Liao_Tongzhou2,
b_FIC_Liao_Helong,
b_FIC_Liao_Yanji,
b_Liao_Luzhou, b_luzhou_china, no,
b_Liao_Xingzhou,
b_FIC_Liao_Erdaojiang,
b_FIC_Liao_Nansuan,
b_Liao_Tangzhou2,
b_Liao_Zhongjing,
b_FIC_Liao_Yingan,
b_Liao_Yingzhou,
b_FIC_Liao_Daguokuishan,
b_FIC_Liao_Mudanjiang,
b_FIC_Liao_Qingquan,
b_Liao_Bozhou,
